epoch,lr,train_loss,val_loss,timestamp,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
0,0.0001,0.5847521324952444,0.5180418193340302,1720121676,True,False,1,06d4a_00000,2024-07-04_13-34-37,177.35469222068787,177.35469222068787,44830,Samans-MacBook-Pro.local,127.0.0.1,177.35469222068787,1,checkpoint_000000
1,0.0001,0.5141837298870087,0.48602426052093506,1720121853,True,False,2,06d4a_00000,2024-07-04_13-37-35,177.22129702568054,354.5759892463684,44830,Samans-MacBook-Pro.local,127.0.0.1,354.5759892463684,2,checkpoint_000001
2,0.0001,0.4689004123210907,0.39639072120189667,1720122022,True,False,3,06d4a_00000,2024-07-04_13-40-24,168.50415587425232,523.0801451206207,44830,Samans-MacBook-Pro.local,127.0.0.1,523.0801451206207,3,checkpoint_000002
3,0.0001,0.37663303812344867,0.32243116199970245,1720122202,True,False,4,06d4a_00000,2024-07-04_13-43-24,180.1365146636963,703.216659784317,44830,Samans-MacBook-Pro.local,127.0.0.1,703.216659784317,4,checkpoint_000003
4,0.0001,0.3204057315985362,0.2541533149778843,1720122395,True,False,5,06d4a_00000,2024-07-04_13-46-40,196.08352208137512,899.3001818656921,44830,Samans-MacBook-Pro.local,127.0.0.1,899.3001818656921,5,checkpoint_000004
5,0.0001,0.23388751844565073,0.21126671507954597,1720122567,True,False,6,06d4a_00000,2024-07-04_13-49-28,168.25656175613403,1067.5567436218262,44830,Samans-MacBook-Pro.local,127.0.0.1,1067.5567436218262,6,checkpoint_000005
6,0.0001,0.1777597020069758,0.20612212270498276,1720122754,True,False,7,06d4a_00000,2024-07-04_13-52-35,186.36335945129395,1253.9201030731201,44830,Samans-MacBook-Pro.local,127.0.0.1,1253.9201030731201,7,checkpoint_000006
7,0.0001,0.11989392836888631,0.1724089179188013,1720122921,True,False,8,06d4a_00000,2024-07-04_13-55-23,168.2343029975891,1422.1544060707092,44830,Samans-MacBook-Pro.local,127.0.0.1,1422.1544060707092,8,checkpoint_000007
8,0.0001,0.09134494264920552,0.1701991781592369,1720123071,True,False,9,06d4a_00000,2024-07-04_13-57-52,148.66881608963013,1570.8232221603394,44830,Samans-MacBook-Pro.local,127.0.0.1,1570.8232221603394,9,checkpoint_000008
9,0.0001,0.06868558377027512,0.1683700978755951,1720123237,True,False,10,06d4a_00000,2024-07-04_14-00-39,166.62660002708435,1737.4498221874237,44830,Samans-MacBook-Pro.local,127.0.0.1,1737.4498221874237,10,checkpoint_000009
